8.725596992936852647e-01,5.479452054794520244e-01
7.067854927010732702e-01,6.849315069513778331e-01
1.062307543224758621e+00,4.444444444444444198e-01
1.114155848821004158e+00,5.000000000000000000e-01
9.327370127042134973e-01,5.555555555555555802e-01
8.178544839223226282e-01,6.527777777777777901e-01
8.413428730434842073e-01,6.250000000000000000e-01
8.968547450171576729e-01,5.694444444444444198e-01
8.431798881954617464e-01,6.388888888888888395e-01
9.078727695677015763e-01,5.694444444444444198e-01
8.995650356490860755e-01,5.788432267986385327e-01
