,Day,Divergence,Correlation,Eucl_Dist,Cosine_Sim
0,1,0.05015908077361275,0.9366609954953183,6.26555714694685,0.1490937175950418
1,1,0.02849229186546429,0.9629136362488805,4.72572643960505,0.11121479910672998
2,1,0.04659863063318572,0.938997860986533,3.78454142117475,0.14171514730658583
3,1,0.11644340334472897,0.8560512166456199,3.156415421924701,0.22740294586585838
4,1,0.1445973667621597,0.836500599131625,2.47590311150329,0.2517329262141985
5,2,0.029096633498620683,0.9711641642036465,5.0465500781159935,0.10018321570727734
6,2,0.02081384892363531,0.9823011734879337,2.537660598682898,0.07684722047383562
7,2,0.029150617444945334,0.9727494080764291,1.6749742563925094,0.09559302953318552
8,2,0.12785322226374385,0.9044022488622604,1.5942537108088939,0.21915800348286663
9,2,0.1743216132976871,0.8799968410634549,1.960301893270754,0.2526463573205048
10,3,0.02720521395186424,0.9730746407887386,4.59723714687161,0.09631542499118799
11,3,0.013893784468893444,0.988912242390611,2.5467353456081585,0.06095728609744491
12,3,0.02826350770643723,0.9697274119647749,1.973591084489703,0.10023105646360785
13,3,0.07370212360169504,0.9482007817080604,1.7496222328801718,0.16432241719834415
14,3,0.14512685716037027,0.90100393212914,2.600039889482143,0.23372506820029812
15,5,0.02349616577905717,0.9763314660559956,5.37063584642549,0.08995235089244737
16,5,0.015141484397418858,0.9877839424481575,2.7211594776331522,0.06569592837377577
17,5,0.04315061820155329,0.9588785682462387,1.421763373310558,0.13388476308614594
18,5,0.026894522976448176,0.987799708117996,1.0480143824327406,0.07406438019550177
19,5,0.07409204251492271,0.9383841295726009,2.8053186754037562,0.17677404160522917
20,6,0.018494579702637008,0.981985250032672,5.054291925305298,0.07809287567090341
21,6,0.012475302363226717,0.9909247820273835,1.8169299171609783,0.05725803401551161
22,6,0.04039158171063699,0.9558787253365576,1.8150366039611618,0.1335090421705718
23,6,0.07242388324821653,0.9422781067294973,2.347167499984017,0.17441246611830305
24,6,0.07691456287355189,0.9405440782813727,2.853690678367863,0.17695107458979473
25,7,0.017038568310675694,0.9880267618875027,4.811999586355399,0.06386912805769895
26,7,0.015403161569632118,0.9896543849614406,1.9015576500123612,0.061061202255651564
27,7,0.0412982855788626,0.943436403389896,2.1924279112082705,0.14484535093729412
28,7,0.052382481546021424,0.9537840847652345,2.2438921106667693,0.14588837776797928
29,7,0.054457385466523206,0.953041488930991,2.6884036214596803,0.1472018487226104
30,9,0.019933927514291412,0.9900453139429422,2.208858619493794,0.06289743601434136
31,9,0.06412027644491734,0.928004312139179,1.8427582642757276,0.17860483657472434
32,9,0.3594672997838799,0.7073728947635218,4.826778793632755,0.45675842414861945
33,9,0.10432957138690237,0.899222976558185,3.8422442602824396,0.2331714559526113
34,9,0.09909326201103688,0.917689784264467,3.6469730988721833,0.21533912716007944
35,10,0.020438508583477562,0.9879143433614311,1.7766877761045905,0.06728866772355774
36,10,0.028734941114443725,0.9736865729843492,0.7076836767992968,0.09719497443719059
37,10,0.35638382705748944,0.7290092792069626,4.548956805637014,0.4446251771091419
38,10,0.15198325269985655,0.8499481244889576,4.4271188466317435,0.29486650616042426
39,10,0.11074906219076856,0.9108653854745927,3.7099922142625776,0.22854538261353835
40,13,0.03559750873057114,0.9798837138385351,1.263929386983529,0.09523429512938837
41,13,0.3024838558420202,0.7755689297164909,3.5301616595821383,0.3962718825638209
42,13,0.4434608849724852,0.6838288071395656,4.935551728446085,0.4980188708199004
43,13,0.4511951063146974,0.6788594070757579,5.681770111641969,0.51125126188748
44,13,0.13683979907436367,0.8767202516115226,4.425458551785309,0.27199548997967415
45,15,0.033539877022403686,0.991612544181246,1.9341994910906954,0.07186772190651962
46,15,0.335322321287958,0.7514588701757312,4.001030619857735,0.4225287907696273
47,15,0.4922687548092062,0.6646330758107715,5.049431784036775,0.521862071498337
48,15,0.38100594735245574,0.7250033237200977,5.561998433429354,0.4662690405143259
49,15,0.16457321242941536,0.82542521955793,5.238297463984698,0.32118636781185644
50,1,0.004729399480386431,0.9916260042895897,0.7680051186489638,0.05300240336691693
51,1,0.01422620927239897,0.9758661292547838,1.0730557085205912,0.08998355879157105
52,1,0.015913271791045208,0.9722297527663798,0.8913484867362598,0.09605713883038133
53,1,0.009142941055761362,0.9836747479314377,0.6686936508065328,0.07382035185432867
54,1,0.010855949656535711,0.9812719288836449,0.9586651956934533,0.07946211918760304
55,1,0.06657690270334073,0.921623852086333,1.3317289791978437,0.18012474905604417
56,1,0.008923281472213059,0.9857014183962058,1.0669032928096591,0.06991605340810197
